an experienced hr professional hr mentor coach talent advisory hr strategist see,hr
head talent acquisition hr leader strategic partner business leadership team areas people processand structure worked best it services product organizations see,hr
a talent acquisition hr professional experience social media strategy talent management recruitmentin it research analytics space equipped unique combination strong interpersonnel skills abilityto work diverse multicultural work environments see,hr
over 18 years experience it ites bpo leading global organizationshave passion working great products enthusiastic userexperience saas hrtech bots io see,hr
human resources business partner demonstrated history working information technology servicesindustry experience across hr partnering business verticals providing integrated human resources servicesand solutions leading delivery center culture integration ma see,hr
a seasoned hr professional experienced banker 20 years demonstrated history various experienceswithin banking industry skilled strategic hr relationship management communication team management business development currently functioning senior vice president head talent management perf see,hr
i working hr practitioner past 15 years attract engage retain talent i hands onexperience domain hr business partnering hr technology hr shared services talent management hranalytics see,hr
passionate developing people building competency organization believe individuals innatequalities strives make successful providing right atmosphere support ensures individual hasan enriching experience meaningful career aligned organizations business needs see,hr
performance driven accomplished professional close 15 years experience corporate hr hrbp rolehighly diverse experience recruitment od pms ld job analysis evaluationhr audit analytics c see,hr
administrationcoordinating handling operation works keeping records soft copy existing staff attendance leave recordshandling complete administrative activities hotels maintaining hospitality arranging trips tou see,hr
experienced head rewards hr operations demonstrated history working bfsi chemicals andmedia industry skilled compensation benefits strategy labor relations management employee wellness andbenefits design strong human resources professional pgdbm focused human resources weli see,hr
over 11 years progressive experience hr domain across diverse portfolio i handled gamut hr activitiesranging talent acquisition operations training statutory compliance audits hr systems environment health safety employee relations talent management as hr business partner i associated large bu see,hr
i hr professional 12 years experience hr business partner talent acquisition i workedacross multiple domains like finance accounting consulting aviation bfsi my current stint lendingkartwhere i director talent acquisition hr business partner based bangalore see,hr
hr recruitment professional 17 years work experience see,hr
proficient hrms implementation administration hr business partner pms compensation benefits stakeholdersmanagement organizational development manpower planning budgeting hr analytics talent management timemanagement salary benchmarking strategic hr employee onboarding orientation employee engagem see,hr
?a dynamic executive 12 years comprehensive experience domain human resourcemanagement personnel management?a core hr professional hands experience planning strategy related field modern hu see,hr
analytics modeling expert hr business partner data governance agile worker data sciencecertified human resource analytics jigsaw academy certified data scientist analytixlab data science andbusiness analytics using sas statistical analysis software r tool analytixlab certified xlri ?execut see,hr
an experienced human resource capital management executive 23 years experience manufacturing andbpo sector covering business management employee engagement employee relations talent acquisition talentdevelopment compensation benefits transformation etc see,hr
payroll attendance kronos management recruitment maintaining hris training see,hr
i firm believer human potential collectively if channelized right direction achieving vision achallenge merely routine i believe primary role create nurture collaborative culture conditionsfor people performance workplace see,hr
i firm believer human potential collectively if channelized right direction achieving vision achallenge merely routine i believe primary role create nurture collaborative culture conditionsfor people performance workplace see,hr
experienced head of talent management demonstrated history working retail industry skilled acquiringright talent managing talent strong hr operations gamuts hr expert designing hr policiesand developing organization strong business development professional pgdbm focused human re see,hr
human resources leader 18 years experience indian global markets across analytics banking andtechnology currently heading hr citi ?technology centre pune india previously headed hr crisil ?globalresearch analytics business across 8 countries across 5 continents also worked hcl technologies see,hr
proactive resultoriented hr professional experienced talent acquisition hrbpsales demonstrated historyof working automobile engineering industry skilled recruiting training employee engagementstrategichiring advisor functional headshr projects hr operations see,hr
i undertaken global business projects spanning across 3 continents set regional offices across india hired2000 employees see,hr
an hr professional 4 years experience keen interest designing processes analytics i bring onboard experience hr well working business strategy projects my value system includes integrity honestywhich drives performance relations others see,hr
experienced human resources demonstrated history working human resources industry skilled inoperations management personnel management strategic planning employee engagement organizationaldevelopment strong human resources professional bsc ma llb focused human resource mana see,hr
12 years experience ir hr skills ability institutionalising industrial relations organisation culture asper business requirements see,hr
working hr demonstrated history working education management industry skilled humanresources management teamwork recruiting team management strong human resources professional amaster business administration mba focused hr see,hr
experienced senior process executive demonstrated history working banking services industrystrong operations professional skilled hr admin recruitment onboarding workforce management crd vendorcontracts invoice processing recruitment policy analysis hr process see,hr
human resource professional experience across strategy business partnering large scale mncs known forideating implementing transformational contemporary hr practices strategic importance businesses globallydrive strategic projects partner cultural transformational projects see,hr
experienced talent development and human resources executive demonstrated history working variedindustries skilled hr policies employee relations onboarding human resources human resources informationsystems hris strong human resources professional post graduation diploma focused human res see,hr
reporting directly chief corporate development officer i responsible development andimplementation corporate strategies things human resources autocapital canada working closely theexecutive management team i oversee hr activities areas talent acquisition selection t see,hr
hr professional 7 years experience multiple hr functions talent acquisition hr analyticsand hr business partner see,hr
digital online marketing grow promote develop business wheezine best digital marketing companyoffering great solutions specialized digitalfocused we provide digital marketing well designingservices like seo sem ppc website development website design branding corporate identity l see,designing
experienced fashion designer demonstrated history working apparel fashion industry skilled intrend analysis textile industry trend forecasting fit retail strong arts design professional st marysfocused business dbhs see,designing
we strong team experienced dedicated web designersweb developers animation expertsnetworkingengineers server admin security expertswe value clients understand message publish theirtargeted audience efficient manner see,designing
